Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
ACWX,-0.62%,-1.33%,10.29%,13.22%,12.56%,25.95%,56.37%,30.16%,102.17%,0.87%,1.31%,2.20M,0.49,75.56,0.92%,"1,075,245"
ACXP,-7.79%,-26.80%,-66.74%,-58.84%,-42.97%,-87.46%,-97.24%,-99.10%,-,6.40%,6.84%,134.40K,0.40,1.42,-3.40%,"53,931"
ACYN,-0.10%,-1.05%,1.62%,-,2.51%,-,-,-,-,0.54%,0.73%,1.07M,1.41,20.65,0.19%,"1,508,673"
ACYQ,-,-,-,-,0.45%,-,-,-,-,-,-,106.19K,0.66,20.10,0.45%,"70,444"
ACYS,-0.29%,-0.15%,-,-,1.49%,-,-,-,-,0.74%,0.81%,194.71K,1.59,20.39,0.15%,"309,399"
AD,-8.00%,-10.34%,-1.84%,1.97%,2.10%,25.99%,387.30%,113.15%,108.96%,4.29%,3.40%,395.83K,3.32,35.89,-0.99%,"1,315,434"
ADAC,-0.10%,0.60%,1.11%,-,1.62%,-,-,-,-,0.24%,0.52%,15.45K,0.09,10.01,0.00%,"1,429"
ADAG,16.71%,10.75%,1.23%,119.15%,117.99%,112.37%,205.19%,-71.09%,-,15.58%,10.63%,230.57K,1.36,4.12,-3.06%,"313,618"
ADAM,3.32%,2.19%,23.90%,29.76%,27.81%,44.43%,-0.19%,-37.71%,-52.55%,3.14%,2.43%,777.79K,1.21,9.33,0.11%,"942,205"
ADBE,-1.46%,-19.58%,-18.48%,-45.90%,-44.74%,-50.09%,-60.10%,-66.63%,109.77%,3.61%,4.10%,6.07M,1.14,193.41,-1.61%,"6,922,133"
ADBG,-3.44%,-37.91%,-39.32%,-75.02%,-73.87%,-80.81%,-,-,-,7.17%,8.26%,4.80M,1.00,2.67,-3.61%,"4,825,013"
ADBU,-3.56%,-37.97%,-39.10%,-,-39.10%,-,-,-,-,5.52%,7.34%,43.38K,1.62,15.02,-3.28%,"70,143"
ADC,2.94%,0.62%,2.37%,5.05%,5.48%,3.66%,16.84%,5.90%,66.96%,1.52%,1.67%,1.13M,0.72,75.98,0.88%,"815,077"
ADCT,-6.31%,-70.37%,-73.80%,-71.89%,-70.54%,-62.32%,-49.27%,-95.85%,-,8.98%,11.89%,1.72M,1.01,1.04,-2.80%,"1,729,338"
ADDS,-0.93%,-,-,-,3.79%,-,-,-,-,2.29%,-,20.96K,2.24,26.05,0.46%,"46,933"
ADEA,-3.19%,7.54%,20.46%,82.24%,76.12%,119.51%,192.96%,418.32%,275.36%,6.64%,7.90%,1.94M,0.79,30.38,1.06%,"1,524,326"
ADFI,0.24%,0.59%,0.59%,-0.41%,-0.70%,0.65%,0.83%,-12.40%,-,0.33%,0.38%,15.86K,0.71,8.52,-0.06%,"11,225"
ADGM,-11.10%,-17.03%,-49.41%,-42.91%,-40.16%,-51.00%,-94.08%,-94.10%,-,8.93%,7.81%,138.06K,0.56,0.62,-1.38%,"77,326"
ADI,0.84%,-0.48%,29.78%,51.52%,54.10%,78.09%,124.77%,149.27%,659.32%,3.65%,4.06%,4.20M,1.53,417.93,1.15%,"6,436,654"
ADIL,-6.18%,15.18%,49.13%,-57.00%,-53.09%,-58.05%,-98.12%,-99.83%,-,10.58%,16.70%,473.68K,0.24,2.58,4.03%,"112,255"
ADIU,-0.57%,-,-,-,-1.34%,-,-,-,-,5.25%,-,6.98K,0.45,14.05,2.29%,"3,144"
ADIV,-2.80%,-2.98%,5.78%,3.30%,3.33%,6.05%,39.97%,9.20%,-,0.47%,1.20%,12.64K,0.19,18.73,0.23%,"2,391"
ADM,0.05%,-1.88%,6.81%,32.31%,33.14%,46.35%,4.99%,24.54%,88.99%,3.20%,2.92%,3.75M,0.98,76.54,1.94%,"3,695,451"
ADMA,3.56%,6.99%,-9.45%,-56.14%,-52.19%,-50.45%,125.32%,406.98%,25.83%,4.06%,4.03%,6.64M,0.54,8.72,0.23%,"3,581,207"
ADME,-0.82%,-2.33%,9.69%,6.07%,6.67%,15.43%,53.18%,38.47%,116.67%,0.67%,0.84%,16.72K,0.46,54.73,-0.04%,"7,674"
ADNT,-0.73%,-10.89%,-5.36%,5.68%,5.84%,4.86%,-43.84%,-54.83%,-,3.11%,4.56%,941.86K,0.83,20.29,0.10%,"782,589"
ADP,-1.12%,-0.93%,7.03%,-16.72%,-15.91%,-27.46%,1.16%,9.60%,149.43%,2.45%,2.52%,2.92M,0.78,216.31,-1.61%,"2,282,306"
